id,payment_status,created_at,score,icc,status,age,gender,income,housing_type,economic_dependents,occupancy_type,level_of_studies,tenure,state,reasson,rate,term,total_debt,amount_to_be_lend,marital_status,1_day_>_delinquencies_in_the_last_6_months,30_days_>_delinquencies_in_the_last_12_months,Account_has_an_important_observation_code,Check_if_the_user_has_other_loan_requests_in_ANALYSIS,Check_if_the_user_has_past_approved_loan_request,Check_if_the_user_has_past_rejected_loan_request,Counting_all_loans,Counting_installment_loans_type_I__M__O__X,Counting_revolvent_loans_type_R,DebtWithoutRE&12mAU___AnualIncome,DebtWithoutRE_AnualIncome_Ratio,Debt_To_Income_ratio_(Digitt_12_months),Debt_To_Income_ratio_(Digitt_15_months),Debt_To_Income_ratio_(Digitt_9_months),Digitt_payment_12_months_VS_average_last_payments,Digitt_payment_15_months_VS_average_last_payments,Digitt_payment_9_months_VS_average_last_payments,Employer_matches_to_Buro_employer,Evaluating_how_long_the_user_has_been_in_buro,Get_accounts_opened_recently.,Inquiries_in_the_last_6_months,Loan_request_Address_matches_to_Buros_Address,Percentage_of_revolving_credit_solved_by_digitt_credit._digitt_credit_all_revolving_credit,Personal_info_matches_to_Buros_personal_info,Revolving_LoC_Usage_ratio,bank_0,name_0,match_balance_address_0,loan_amount_0,rate_0,bank_1,name_1,match_balance_address_1,loan_amount_1,rate_1,bank_2,name_2,match_balance_address_2,loan_amount_2,rate_2,bank_3,name_3,match_balance_address_3,loan_amount_3,rate_3,bank_4,name_4,match_balance_address_4,loan_amount_4,rate_4
6989,,2019-07-09 20:44:15.359682+00,655,3,REJECTED,23,F,9000,PROPIO,1,Negocio propio,Preparatoria,5,Michoacán de Ocampo,MONTHLY_DEBT_PAYMENT,31,9,14939,14939.52,CASADO,1,0,,,,1,9,1,8,0.7607,0.7607,0.9268,0.899,0.9732,0.883,0.7362,1.1289,0.810811,61.5552,0,13,0.681818,0.1949,1,0.7682,Inbursa,Sam's Club,1,14939.52,60,,,,,,,,,,,,,,,,,,,,
6956,,2019-07-09 06:15:20.090485+00,664,6,REJECTED,24,M,6500,PROPIO,0,Empleado,Licenciatura,0,México,MONTHLY_DEBT_PAYMENT,30,12,19845,20619,SOLTERO,0,0,,,,,5,2,3,0.8549,0.8549,1.0138,0.9608,1.1025,0.4601,0.3831,0.589,1,57.9017,1,4,0.457627,0.4801,1,0.6048,Citibanamex,Oro,1,20619,70.92,,,,,,,,,,,,,,,,,,,,
6954,,2019-07-09 04:51:12.057067+00,698,3,REJECTED,29,M,14070,FAMILIA,0,Empleado,Posgrado,3,Sinaloa,MONTHLY_DEBT_PAYMENT | LOAN_LARGER_60K | MANY_OPEN_ACCOUNTS,25,15,85996,85336.63,SOLTERO,0,0,,,,,10,1,9,1.3336,1.3336,1.6135,1.5121,1.7831,0.2676,0.2215,0.3448,0.857143,102.5,1,8,0.288889,0.3796,1,0.6726,BanBajio,Clásica,1,19748.42,55,Invex,Volaris Invex 2.0,1,25854.7,53,Santander,Free,-1,39733.51,58.5,,,,,,,,,,
6947,,2019-07-09 03:07:26.856667+00,638,3,REJECTED,26,M,11500,PROPIO,1,Empleado,Licenciatura,3,Jalisco,MANY_NEW_ACCOUNTS | MONTHLY_DEBT_PAYMENT | MANY_OPEN_ACCOUNTS,34,15,38446,37451.25,CASADO,1,0,,,,,22,8,14,0.7979,0.7979,1.1999,1.1456,1.2909,0.327,0.2736,0.4165,1,55.0297,6,12,0.647059,0.4384,1,0.4091,Banorte,Clásica,1,8007.1,64.56,Inbursa,Walmart,0,11859.31,80,BanCoppel,BanCoppel Visa,0,13661.61,86.04,HSBC,Básica,-1,3923.23,63.12,,,,,
6933,,2019-07-08 23:06:17.674852+00,654,8,REJECTED,43,M,40000,PROPIO,3,Negocio propio,Licenciatura,1,Sonora,LOAN_LARGER_60K | SMALL_PREVIUS_PAYMENTS,31,12,100000,60000,CASADO,1,0,,,,,6,3,3,0.8477,0.9649,1.032,1.0069,1.0739,0.3887,0.3241,0.497,0.0540541,214.282,0,2,0.822222,0.1715,1,0.6445,BBVA Bancomer,Platinum,1,60000,45.84,,,,,,,,,,,,,,,,,,,,
6930,,2019-07-08 21:33:31.632002+00,686,8,REJECTED,27,F,7000,PROPIO,0,Empleado,Posgrado,4,Baja California Sur,MONTHLY_DEBT_PAYMENT | MANY_OPEN_ACCOUNTS,27,12,12000,12000,SOLTERO,0,0,,,,1,10,4,6,2.4209,4.7916,2.057,2.0283,2.1049,,,,0.521739,92.8897,1,7,0.440367,0.3213,0.939394,0.4133,American Express,The Gold Card,0,12000,81.96,,,,,,,,,,,,,,,,,,,,
6929,,2019-07-08 21:33:29.955071+00,668,7,REJECTED,29,M,10000,FAMILIA,0,Empleado,Licenciatura,2,Nuevo León,MONTHLY_DEBT_PAYMENT,29,15,22768,22768.44,DIVORCIADO,0,0,,,,,5,0,4,0.8319,0.8319,0.8577,0.8197,0.9214,0.3013,0.2506,0.3862,0,83.8563,0,3,0.326531,0.2281,1,0.8986,Banorte,Oro,1,22768.44,53.64,,,,,,,,,,,,,,,,,,,,
6916,,2019-07-08 17:22:42.003872+00,657,4,REJECTED,28,F,12000,FAMILIA,0,Empleado,Posgrado,5,Sonora,MONTHLY_DEBT_PAYMENT | HIGH_CREDIT_LINE_USAGE,31,12,53213,53212.07,SOLTERO,1,0,,,,1,8,5,3,1.4681,2.5441,1.5212,1.4471,1.6452,0.9613,0.8015,1.229,0.210526,61.5172,2,7,0.659341,0.5986,1,0.9621,BBVA Bancomer,Oro,-1,53212.07,90.24,,,,,,,,,,,,,,,,,,,,
6915,Too early to know,2019-07-08 17:09:48.247958+00,625,5,APPROVED,26,M,15000,FAMILIA,0,Empleado,Preparatoria,1,Aguascalientes,,35,9,31422,31562.33,SOLTERO,7,1,,,,,9,3,6,0.3566,0.3566,0.4274,0.3923,0.4862,1.4385,1.2052,1.8299,1,46.3502,1,2,0.654867,0.5446,1,0.9747,Santander,Free,1,13386.98,58.51,Inbursa,Sam's Club,0,18175.35,60,,,,,,,,,,,,,,,
6906,Too early to know,2019-07-08 14:53:39.101877+00,718,8,APPROVED,32,M,25500,RENTADO,0,Empleado,Licenciatura,7,Jalisco,,22,12,15906,15906,SOLTERO,0,0,,,1,,3,0,2,0.0274,0.0274,0.0594,0.049,0.0769,0.1425,0.1175,0.1843,1,130.78,0,3,0.828571,1.8997,1,0.1626,BBVA Bancomer,Oro,-1,15906,90.24,,,,,,,,,,,,,,,,,,,,
